68277,False,10000,10,uniform,1,500,0,0,2,15213,28584.33275614972,299.9,63.46353464323905,4.724533424933089
20013,False,10000,10,uniform,1,500,0,1,straight,0,-19711999968731.08,300.0,20.71200000000233,14.480562830514975
29383,False,10000,10,uniform,1,500,0,0.05,2,83,29088.145959599213,300.0,27.051876192210973,11.089702866572953
28685,False,10000,10,uniform,1,500,0,0.1,2,15,29146.50972206098,300.0,26.406214672285728,11.357603978112868
20833,False,10000,10,uniform,1,500,0,1,1.1,0,25756.35621415554,300.0,21.28564659609183,14.090421727555562
27752,False,10000,10,uniform,1,500,0,1,2,0,29171.472301602364,300.0,25.619848155603744,11.706378761163258
92887,False,10000,10,uniform,1,500,0,0.01,3,12669,29460.628982603655,300.0,75.37557397497562,3.9799139198788227
28953,False,10000,10,1.1,1,500,0,0,straight,8108,-9252299970881.742,300.1,29.333961775633373,10.224306776138189
33215,False,10000,10,1.1,1,500,0,0,1.1,11149,27191.449900051673,299.9,33.09096996750278,9.0604206854227
105576,False,10000,10,uniform,1,500,0,0.0001,3,19271,29534.873589786625,300.0,85.85340588510257,3.493344243732735
63665,False,10000,10,uniform,1,500,0,0.05,3,99,29893.512301645776,300.0,48.854536238287054,6.1394129359345175
40344,False,10000,10,1.1,1,500,0,0,2,13589,29277.153184690724,299.9,37.575298867926804,7.978897674567522
111703,False,10000,10,uniform,1,500,0,0,3,19127,29458.34761675883,300.0,90.64401859561418,3.3085837295497385
33604,False,10000,10,1.1,1,500,0,0.0001,straight,10533,-13816399970291.477,300.0,33.84395267333322,8.862096776546803
111139,False,10000,10,uniform,1,500,0,0.001,3,18972,29483.226212973437,300.0,90.25295405744414,3.323013605346746
32361,False,10000,10,1.1,1,500,0,0.0001,1.1,9749,27254.94302966949,299.9,32.359931412077806,9.265436206664605
64236,False,10000,10,uniform,1,500,0,0.1,3,11,29897.65772181788,300.0,49.18243168117327,6.098012743250792
116017,False,10000,10,uniform,1,500,0,0.005,3,16826,29330.32469988495,299.9,94.01360575410956,3.188976531452724
62869,False,10000,10,uniform,1,500,0,1,3,0,29884.349762080972,299.9,48.18839530414582,6.222668958327424
27471,False,10000,10,1.1,1,500,0,0.001,straight,10337,-11205899970212.76,300.1,27.713497844180313,10.819360351739714
44068,False,10000,10,1.1,1,500,0,0.0001,2,13616,29190.571593329438,300.0,41.04655974773813,7.307756080579514
24352,False,10000,10,1.1,1,500,0,0.005,straight,7753,-9741699970491.445,299.9,24.734622634648098,12.114108307652518
66498,False,10000,10,1.1,1,500,0,0,3,16409,29726.060247181034,300.0,54.259401114011894,5.52806843364701
36426,False,10000,10,1.1,1,500,0,0.001,1.1,11055,26785.7708806472,300.0,36.28831574961474,8.264761264688905
37981,False,10000,10,1.1,1,500,0,0.001,2,13255,29365.706684907957,300.0,35.38224432375732,8.476128199856863
35720,False,10000,10,1.1,1,500,0,0.005,1.1,9479,26691.911080652324,299.9,35.68361566772718,8.402379970768802
25477,False,10000,10,1.1,1,500,0,0.01,straight,5286,-13043099970003.926,299.9,25.97133657145193,11.544834314677379
40869,False,10000,10,1.1,1,500,0,0.005,2,11969,29086.914216876135,300.0,38.258093955711175,7.8390992241999795
155596,False,10000,10,uniform,1,500,0,0,random,20316,29664.0127094408,300.0,155.31250311286757,1.930973741791476
28184,False,10000,10,1.1,1,500,0,0.01,1.1,4290,26477.283647863766,300.0,28.47831467673647,10.53281195399154
160325,False,10000,10,uniform,1,500,0,0.001,random,20205,29695.563501437155,300.0,160.0415084281458,1.8739205733382704
